"","YEAR","MONTH","TOT_POP"
"1",2000,4,281424600
"2",2000,5,281643089
"3",2000,6,281887481
"4",2000,7,282162411
"5",2000,8,282422213
"6",2000,9,282693284
"7",2000,10,282957962
"8",2000,11,283197152
"9",2000,12,283437649
"10",2001,1,283647024
"11",2001,2,283841797
"12",2001,3,284047071
"13",2001,4,284269299
"14",2001,5,284487152
"15",2001,6,284728443
"16",2001,7,284968955
"17",2001,8,285224368
"18",2001,9,285493771
"19",2001,10,285689399
"20",2001,11,285921072
"21",2001,12,286138973
"22",2002,1,286340637
"23",2002,2,286542998
"24",2002,3,286723459
"25",2002,4,286929463
"26",2002,5,287151632
"27",2002,6,287393588
"28",2002,7,287625193
"29",2002,8,287870555
"30",2002,9,288129987
"31",2002,10,288379244
"32",2002,11,288610754
"33",2002,12,288804655
"34",2003,1,288998781
"35",2003,2,289132739
"36",2003,3,289258694
"37",2003,4,289400188
"38",2003,5,289554820
"39",2003,6,289819527
"40",2003,7,290107933
"41",2003,8,290391551
"42",2003,9,290656476
"43",2003,10,290916101
"44",2003,11,291160038
"45",2003,12,291364214
"46",2004,1,291553190
"47",2004,2,291716878
"48",2004,3,291888226
"49",2004,4,292108553
"50",2004,5,292350184
"51",2004,6,292571704
"52",2004,7,292805298
"53",2004,8,293057495
"54",2004,9,293309033
"55",2004,10,293573356
"56",2004,11,293801454
"57",2004,12,294015263
"58",2005,1,294230649
"59",2005,2,294380349
"60",2005,3,294558690
"61",2005,4,294784353
"62",2005,5,295030999
"63",2005,6,295262724
"64",2005,7,295516599
"65",2005,8,295771752
"66",2005,9,296040189
"67",2005,10,296306871
"68",2005,11,296514546
"69",2005,12,296762293
"70",2006,1,296987570
"71",2006,2,297219147
"72",2006,3,297423035
"73",2006,4,297649663
"74",2006,5,297869406
"75",2006,6,298118142
"76",2006,7,298379912
"77",2006,8,298630579
"78",2006,9,298908360
"79",2006,10,299159981
"80",2006,11,299395746
"81",2006,12,299658194
"82",2007,1,299890446
"83",2007,2,300095558
"84",2007,3,300288381
"85",2007,4,300511531
"86",2007,5,300728176
"87",2007,6,300968228
"88",2007,7,301231207
"89",2007,8,301500377
"90",2007,9,301772224
"91",2007,10,302026271
"92",2007,11,302287110
"93",2007,12,302533358
"94",2008,1,302754346
"95",2008,2,302966260
"96",2008,3,303185074
"97",2008,4,303381938
"98",2008,5,303616954
"99",2008,6,303847001
"100",2008,7,304093966
"101",2008,8,304357665
"102",2008,9,304614210
"103",2008,10,304858602
"104",2008,11,305093832
"105",2008,12,305298802
"106",2009,1,305519874
"107",2009,2,305714782
"108",2009,3,305920351
"109",2009,4,306112520
"110",2009,5,306321829
"111",2009,6,306541114
"112",2009,7,306771529
"113",2009,8,307007040
"114",2009,9,307267930
"115",2009,10,307518237
"116",2009,11,307757459
"117",2009,12,307954399
"118",2010,1,308169976
"119",2010,2,308375613
"120",2010,3,308565817
"121",2010,4,308745538
"122",2010,7,309349689
